verb,form,question_ja,question_romaji,question_en,hint_ja,hint_romaji,hint_en,answer_ja,answer_romaji,answer_en,strict_verb
taberu,polite_present_pos,"明日、何を食べますか？","ashita, nani o tabemasu ka?","What will you eat tomorrow?",寿司,sushi,sushi,"寿司を食べます。","sushi o tabemasu.","I will eat sushi.",をたべます
taberu,polite_present_pos,"今夜、何を食べますか？","kon'ya, nani o tabemasu ka?","What will you eat tonight?",ラーメン,ramen,ramen,"ラーメンを食べます。","ramen o tabemasu.","I will eat ramen.",をたべます
taberu,polite_present_pos,"今晩、何を食べますか？","konban, nani o tabemasu ka?","What will you eat this evening?",ピザ,piza,pizza,"ピザを食べます。","piza o tabemasu.","I will eat pizza.",をたべます
taberu,polite_present_pos,"週末、何を食べますか？","shumatsu, nani o tabemasu ka?","What will you eat this weekend?",肉,niku,meat,"肉を食べます。","niku o tabemasu.","I will eat meat.",をたべます
taberu,polite_present_pos,"朝、何を食べますか？","asa, nani o tabemasu ka?","What do you eat in the morning?",パン,pan,bread,"パンを食べます。","pan o tabemasu.","I eat bread.",をたべます
taberu,polite_present_pos,"彼は明日何を食べますか？","kare wa ashita nani o tabemasu ka?","What will he eat tomorrow?",寿司,sushi,sushi,"彼は寿司を食べます。","kare wa sushi o tabemasu.","He will eat sushi.",をたべます
taberu,polite_present_pos,"彼女は今夜何を食べますか？","kanojo wa kon'ya nani o tabemasu ka?","What will she eat tonight?",カレー,kare,curry,"彼女はカレーを食べます。","kanojo wa kare o tabemasu.","She will eat curry.",をたべます
taberu,polite_present_pos,"彼らは週末何を食べますか？","karera wa shumatsu nani o tabemasu ka?","What will they eat this weekend?",焼肉,yakiniku,barbecue,"彼らは焼肉を食べます。","karera wa yakiniku o tabemasu.","They will eat barbecue.",をたべます
taberu,polite_present_pos,"来年、何を食べますか？","rainen, nani o tabemasu ka?","What will you eat next year?",フランス料理,furansu ryori,French food,"フランス料理を食べます。","furansu ryori o tabemasu.","I will eat French food.",をたべます
taberu,polite_present_pos,"昼、何を食べますか？","hiru, nani o tabemasu ka?","What will you eat for lunch?",お弁当,obento,bento,"お弁当を食べます。","obento o tabemasu.","I will eat a bento.",をたべます
taberu,polite_present_neg,"今夜、寿司を食べますか？","kon'ya, sushi o tabemasu ka?","Will you eat sushi tonight?",いいえ,iie,no,"いいえ、寿司を食べません。","iie, sushi o tabemasen.","No, I will not eat sushi tonight.",をたべません
taberu,polite_present_neg,"明日、ラーメンを食べますか？","ashita, ramen o tabemasu ka?","Will you eat ramen tomorrow?",いいえ,iie,no,"いいえ、ラーメンを食べません。","iie, ramen o tabemasen.","No, I will not eat ramen tomorrow.",をたべません
taberu,polite_present_neg,"今晩、ピザを食べますか？","konban, piza o tabemasu ka?","Will you eat pizza this evening?",いいえ,iie,no,"いいえ、ピザを食べません。","iie, piza o tabemasen.","No, I will not eat pizza this evening.",をたべません
taberu,polite_present_neg,"週末、肉を食べますか？","shumatsu, niku o tabemasu ka?","Will you eat meat this weekend?",いいえ,iie,no,"いいえ、肉を食べません。","iie, niku o tabemasen.","No, I will not eat meat this weekend.",をたべません
taberu,polite_present_neg,"朝、パンを食べますか？","asa, pan o tabemasu ka?","Do you eat bread in the morning?",いいえ,iie,no,"いいえ、パンを食べません。","iie, pan o tabemasen.","No, I do not eat bread in the morning.",をたべません
taberu,polite_present_neg,"彼は今夜カレーを食べますか？","kare wa kon'ya kare o tabemasu ka?","Will he eat curry tonight?",いいえ,iie,no,"いいえ、彼はカレーを食べません。","iie, kare wa kare o tabemasen.","No, he will not eat curry tonight.",をたべません
taberu,polite_present_neg,"彼女は明日寿司を食べますか？","kanojo wa ashita sushi o tabemasu ka?","Will she eat sushi tomorrow?",いいえ,iie,no,"いいえ、彼女は寿司を食べません。","iie, kanojo wa sushi o tabemasen.","No, she will not eat sushi tomorrow.",をたべません
taberu,polite_present_neg,"彼らは週末焼肉を食べますか？","karera wa shumatsu yakiniku o tabemasu ka?","Will they eat barbecue this weekend?",いいえ,iie,no,"いいえ、彼らは焼肉を食べません。","iie, karera wa yakiniku o tabemasen.","No, they will not eat barbecue this weekend.",をたべません
taberu,polite_present_neg,"今夜、寿司を食べますか？","kon'ya, sushi o tabemasu ka?","Are you going to eat sushi tonight?",いいえ,iie,no,"いいえ、食べません。","iie, tabemasen.","No, I am not eating.",をたべません
