verb,form,question_ja,question_romaji,question_en,hint_ja,hint_romaji,hint_en,answer_ja,answer_romaji,answer_en,strict_verb
miru,polite_present_pos,"明日、何を見ますか？","ashita, nani o mimasu ka?","What will you watch tomorrow?",映画,eiga,movie,"映画を見ます。","eiga o mimasu.","I will watch a movie.",をみます
miru,polite_present_pos,"今夜、何を見ますか？","kon'ya, nani o mimasu ka?","What will you watch tonight?",テレビ,terebi,TV,"テレビを見ます。","terebi o mimasu.","I will watch TV.",をみます
miru,polite_present_pos,"週末、何を見ますか？","shumatsu, nani o mimasu ka?","What will you watch this weekend?",サッカー,sakka,soccer,"サッカーを見ます。","sakka o mimasu.","I will watch soccer.",をみます
miru,polite_present_pos,"明日、何を見ますか？","ashita, nani o mimasu ka?","What will you see tomorrow?",花,hana,flowers,"花を見ます。","hana o mimasu.","I will see flowers.",をみます
miru,polite_present_pos,"今夜、何を見ますか？","kon'ya, nani o mimasu ka?","What will you watch tonight?",ニュース,nyusu,news,"ニュースを見ます。","nyusu o mimasu.","I will watch the news.",をみます
miru,polite_present_pos,"彼は明日何を見ますか？","kare wa ashita nani o mimasu ka?","What will he watch tomorrow?",野球,yakyu,baseball,"彼は野球を見ます。","kare wa yakyu o mimasu.","He will watch baseball.",をみます
miru,polite_present_pos,"彼女は今夜何を見ますか？","kanojo wa kon'ya nani o mimasu ka?","What will she watch tonight?",ドラマ,dorama,drama,"彼女はドラマを見ます。","kanojo wa dorama o mimasu.","She will watch a drama.",をみます
miru,polite_present_pos,"彼らは週末何を見ますか？","karera wa shumatsu nani o mimasu ka?","What will they watch this weekend?",映画,eiga,movie,"彼らは映画を見ます。","karera wa eiga o mimasu.","They will watch a movie.",をみます
miru,polite_present_pos,"来年、何を見ますか？","rainen, nani o mimasu ka?","What will you see next year?",富士山,fujisan,Mt.Fuji,"富士山を見ます。","fujisan o mimasu.","I will see Mt. Fuji.",をみます
miru,polite_present_pos,"今晩、何を見ますか？","konban, nani o mimasu ka?","What will you watch this evening?",音楽,ongaku,music,"音楽を見ます。","ongaku o mimasu.","I will watch music.",をみます
miru,polite_present_neg,"今夜、映画を見ますか？","kon'ya, eiga o mimasu ka?","Will you watch a movie tonight?",いいえ,iie,no,"いいえ、映画を見ません。","iie, eiga o mimasen.","No, I will not watch a movie tonight.",をみません
miru,polite_present_neg,"明日、テレビを見ますか？","ashita, terebi o mimasu ka?","Will you watch TV tomorrow?",いいえ,iie,no,"いいえ、テレビを見ません。","iie, terebi o mimasen.","No, I will not watch TV tomorrow.",をみません
miru,polite_present_neg,"週末、サッカーを見ますか？","shumatsu, sakka o mimasu ka?","Will you watch soccer this weekend?",いいえ,iie,no,"いいえ、サッカーを見ません。","iie, sakka o mimasen.","No, I will not watch soccer this weekend.",をみません
miru,polite_present_neg,"今晩、ニュースを見ますか？","konban, nyusu o mimasu ka?","Will you watch the news this evening?",いいえ,iie,no,"いいえ、ニュースを見ません。","iie, nyusu o mimasen.","No, I will not watch the news this evening.",をみません
miru,polite_present_neg,"明日、花を見ますか？","ashita, hana o mimasu ka?","Will you see the flowers tomorrow?",いいえ,iie,no,"いいえ、花を見ません。","iie, hana o mimasen.","No, I will not see the flowers tomorrow.",をみません
miru,polite_present_neg,"彼は今夜野球を見ますか？","kare wa kon'ya yakyu o mimasu ka?","Will he watch baseball tonight?",いいえ,iie,no,"いいえ、彼は野球を見ません。","iie, kare wa yakyu o mimasen.","No, he will not watch baseball tonight.",をみません
miru,polite_present_neg,"彼女は明日映画を見ますか？","kanojo wa ashita eiga o mimasu ka?","Will she watch a movie tomorrow?",いいえ,iie,no,"いいえ、彼女は映画を見ません。","iie, kanojo wa eiga o mimasen.","No, she will not watch a movie tomorrow.",をみません
miru,polite_present_neg,"彼らは週末テレビを見ますか？","karera wa shumatsu terebi o mimasu ka?","Will they watch TV this weekend?",いいえ,iie,no,"いいえ、彼らはテレビを見ません。","iie, karera wa terebi o mimasen.","No, they will not watch TV this weekend.",をみません
miru,polite_present_neg,"今夜、映画を見ますか？","kon'ya, eiga o mimasu ka?","Are you going to watch a movie tonight?",いいえ,iie,no,"いいえ、見ません。","iie, mimasen.","No, I am not watching.",をみません
miru,polite_present_neg,"明日、テレビを見ますか？","ashita, terebi o mimasu ka?","Will you watch TV tomorrow?",いいえ,iie,no,"いいえ、見ません。","iie, mimasen.","No, I will not watch.",をみません
miru,polite_past_pos,"昨日、何を見ましたか？","kino, nani o mimashita ka?","What did you watch yesterday?",映画,eiga,movie,"映画を見ました。","eiga o mimashita.","I watched a movie.",をみました
miru,polite_past_pos,"先週、何を見ましたか？","senshu, nani o mimashita ka?","What did you watch last week?",テレビ,terebi,TV,"テレビを見ました。","terebi o mimashita.","I watched TV.",をみました
miru,polite_past_pos,"去年、何を見ましたか？","kyonen, nani o mimashita ka?","What did you see last year?",花火,hanabi,fireworks,"花火を見ました。","hanabi o mimashita.","I saw fireworks.",をみました
miru,polite_past_pos,"今朝、何を見ましたか？","kesa, nani o mimashita ka?","What did you see this morning?",鳥,tori,bird,"鳥を見ました。","tori o mimashita.","I saw a bird.",をみました
miru,polite_past_pos,"昨日、何を見ましたか？","kino, nani o mimashita ka?","What did you watch yesterday?",サッカー,sakka,soccer,"サッカーを見ました。","sakka o mimashita.","I watched soccer.",をみました
miru,polite_past_pos,"先週、何を見ましたか？","senshu, nani o mimashita ka?","What did you watch last week?",ドラマ,dorama,drama,"ドラマを見ました。","dorama o mimashita.","I watched a drama.",をみました
miru,polite_past_pos,"彼は昨日何を見ましたか？","kare wa kino nani o mimashita ka?","What did he watch yesterday?",野球,yakyu,baseball,"彼は野球を見ました。","kare wa yakyu o mimashita.","He watched baseball.",をみました
miru,polite_past_pos,"彼女は先週何を見ましたか？","kanojo wa senshu nani o mimashita ka?","What did she watch last week?",映画,eiga,movie,"彼女は映画を見ました。","kanojo wa eiga o mimashita.","She watched a movie.",をみました
miru,polite_past_pos,"彼らは去年何を見ましたか？","karera wa kyonen nani o mimashita ka?","What did they see last year?",富士山,fujisan,Mt.Fuji,"彼らは富士山を見ました。","karera wa fujisan o mimashita.","They saw Mt. Fuji.",をみました
miru,polite_past_pos,"昨日、何を見ましたか？","kino, nani o mimashita ka?","What did you see yesterday?",桜,sakura,cherry blossoms,"桜を見ました。","sakura o mimashita.","I saw cherry blossoms.",をみました
miru,polite_past_pos,"先週、何を見ましたか？","senshu, nani o mimashita ka?","What did you watch last week?",ニュース,nyusu,news,"ニュースを見ました。","nyusu o mimashita.","I watched the news.",をみました
miru,polite_past_neg,"昨日、映画を見ましたか？","kino, eiga o mimashita ka?","Did you watch a movie yesterday?",いいえ,iie,no,"いいえ、映画を見ませんでした。","iie, eiga o mimasen deshita.","No, I did not watch a movie yesterday.",をみませんでした
miru,polite_past_neg,"先週、テレビを見ましたか？","senshu, terebi o mimashita ka?","Did you watch TV last week?",いいえ,iie,no,"いいえ、テレビを見ませんでした。","iie, terebi o mimasen deshita.","No, I did not watch TV last week.",をみませんでした
miru,polite_past_neg,"去年、花火を見ましたか？","kyonen, hanabi o mimashita ka?","Did you see fireworks last year?",いいえ,iie,no,"いいえ、花火を見ませんでした。","iie, hanabi o mimasen deshita.","No, I did not see fireworks last year.",をみませんでした
miru,polite_past_neg,"今朝、鳥を見ましたか？","kesa, tori o mimashita ka?","Did you see a bird this morning?",いいえ,iie,no,"いいえ、鳥を見ませんでした。","iie, tori o mimasen deshita.","No, I did not see a bird this morning.",をみませんでした
miru,polite_past_neg,"昨日、サッカーを見ましたか？","kino, sakka o mimashita ka?","Did you watch soccer yesterday?",いいえ,iie,no,"いいえ、サッカーを見ませんでした。","iie, sakka o mimasen deshita.","No, I did not watch soccer yesterday.",をみませんでした
