verb,form,question_ja,question_romaji,question_en,hint_ja,hint_romaji,hint_en,answer_ja,answer_romaji,answer_en,strict_verb
iku,polite_present_pos,"明日、どこに行きますか？","ashita, doko ni ikimasu ka?","Where will you go tomorrow?",お寺,otera,temple,"お寺に行きます。","otera ni ikimasu.","I will go to the temple.",にいきます
iku,polite_present_pos,"今夜、どこに行きますか？","kon'ya, doko ni ikimasu ka?","Where will you go tonight?",映画,eiga,movie,"映画に行きます。","eiga ni ikimasu.","I will go to the movie.",にいきます
iku,polite_present_pos,"来週、どこに行きますか？","raishu, doko ni ikimasu ka?","Where will you go next week?",京都,kyoto,Kyoto,"京都に行きます。","kyoto ni ikimasu.","I will go to Kyoto.",にいきます
iku,polite_present_pos,"週末、どこに行きますか？","shumatsu, doko ni ikimasu ka?","Where will you go this weekend?",海,umi,beach,"海に行きます。","umi ni ikimasu.","I will go to the beach.",にいきます
iku,polite_present_pos,"金曜日、どこに行きますか？","kinyobi, doko ni ikimasu ka?","Where will you go on Friday?",東京,tokyo,Tokyo,"東京に行きます。","tokyo ni ikimasu.","I will go to Tokyo.",にいきます
iku,polite_present_pos,"彼は明日どこに行きますか？","kare wa ashita doko ni ikimasu ka?","Where will he go tomorrow?",京都,kyoto,Kyoto,"彼は京都に行きます。","kare wa kyoto ni ikimasu.","He will go to Kyoto.",にいきます
iku,polite_present_pos,"彼女は来週どこに行きますか？","kanojo wa raishu doko ni ikimasu ka?","Where will she go next week?",大阪,osaka,Osaka,"彼女は大阪に行きます。","kanojo wa osaka ni ikimasu.","She will go to Osaka.",にいきます
iku,polite_present_pos,"彼らは週末どこに行きますか？","karera wa shumatsu doko ni ikimasu ka?","Where will they go this weekend?",山,yama,mountains,"彼らは山に行きます。","karera wa yama ni ikimasu.","They will go to the mountains.",にいきます
iku,polite_present_pos,"来年どこに行きますか？","rainen doko ni ikimasu ka?","Where will you go next year?",日本,nihon,Japan,"日本に行きます。","nihon ni ikimasu.","I will go to Japan.",にいきます
iku,polite_present_pos,"今晩どこに行きますか？","konban doko ni ikimasu ka?","Where will you go this evening?",レストラン,resutoran,restaurant,"レストランに行きます。","resutoran ni ikimasu.","I will go to the restaurant.",にいきます
iku,polite_present_neg,"今夜、映画に行きますか？","kon'ya, eiga ni ikimasu ka?","Will you go to the movie tonight?",いいえ,iie,no,"いいえ、映画に行きません。","iie, eiga ni ikimasen.","No, I will not go to the movie tonight.",にいきません
iku,polite_present_neg,"明日、学校に行きますか？","ashita, gakko ni ikimasu ka?","Will you go to school tomorrow?",いいえ,iie,no,"いいえ、学校に行きません。","iie, gakko ni ikimasen.","No, I will not go to school tomorrow.",にいきません
iku,polite_present_neg,"来週、東京に行きますか？","raishu, tokyo ni ikimasu ka?","Will you go to Tokyo next week?",いいえ,iie,no,"いいえ、東京に行きません。","iie, tokyo ni ikimasen.","No, I will not go to Tokyo next week.",にいきません
iku,polite_present_neg,"今晩、レストランに行きますか？","konban, resutoran ni ikimasu ka?","Will you go to the restaurant this evening?",いいえ,iie,no,"いいえ、レストランに行きません。","iie, resutoran ni ikimasen.","No, I will not go to the restaurant this evening.",にいきません
iku,polite_present_neg,"週末、海に行きますか？","shumatsu, umi ni ikimasu ka?","Will you go to the beach this weekend?",いいえ,iie,no,"いいえ、海に行きません。","iie, umi ni ikimasen.","No, I will not go to the beach this weekend.",にいきません
iku,polite_present_neg,"金曜日、京都に行きますか？","kinyobi, kyoto ni ikimasu ka?","Will you go to Kyoto on Friday?",いいえ,iie,no,"いいえ、京都に行きません。","iie, kyoto ni ikimasen.","No, I will not go to Kyoto on Friday.",にいきません
iku,polite_present_neg,"来年、日本に行きますか？","rainen, nihon ni ikimasu ka?","Will you go to Japan next year?",いいえ,iie,no,"いいえ、日本に行きません。","iie, nihon ni ikimasen.","No, I will not go to Japan next year.",にいきません
iku,polite_present_neg,"彼は今夜映画に行きますか？","kare wa kon'ya eiga ni ikimasu ka?","Will he go to the movie tonight?",いいえ,iie,no,"いいえ、彼は映画に行きません。","iie, kare wa eiga ni ikimasen.","No, he will not go to the movie tonight.",にいきません
iku,polite_present_neg,"彼女は明日学校に行きますか？","kanojo wa ashita gakko ni ikimasu ka?","Will she go to school tomorrow?",いいえ,iie,no,"いいえ、彼女は学校に行きません。","iie, kanojo wa gakko ni ikimasen.","No, she will not go to school tomorrow.",にいきません
iku,polite_present_neg,"彼らは来週東京に行きますか？","karera wa raishu tokyo ni ikimasu ka?","Will they go to Tokyo next week?",いいえ,iie,no,"いいえ、彼らは東京に行きません。","iie, karera wa tokyo ni ikimasen.","No, they will not go to Tokyo next week.",にいきません
iku,polite_present_neg,"今夜、映画に行きますか？","kon'ya, eiga ni ikimasu ka?","Are you going to the movie tonight?",いいえ,iie,no,"いいえ、行きません。","iie, ikimasen.","No, I am not going.",にいきません
iku,polite_present_neg,"明日、学校に行きますか？","ashita, gakko ni ikimasu ka?","Will you go to school tomorrow?",いいえ,iie,no,"いいえ、行きません。","iie, ikimasen.","No, I will not go.",にいきません
iku,polite_past_pos,"昨日、どこに行きましたか？","kino, doko ni ikimashita ka?","Where did you go yesterday?",東京,tokyo,Tokyo,"東京に行きました。","tokyo ni ikimashita.","I went to Tokyo.",にいきました
iku,polite_past_pos,"先週、どこに行きましたか？","senshu, doko ni ikimashita ka?","Where did you go last week?",京都,kyoto,Kyoto,"京都に行きました。","kyoto ni ikimashita.","I went to Kyoto.",にいきました
iku,polite_past_pos,"去年、どこに行きましたか？","kyonen, doko ni ikimashita ka?","Where did you go last year?",日本,nihon,Japan,"日本に行きました。","nihon ni ikimashita.","I went to Japan.",にいきました
iku,polite_past_pos,"今朝、どこに行きましたか？","kesa, doko ni ikimashita ka?","Where did you go this morning?",病院,byoin,hospital,"病院に行きました。","byoin ni ikimashita.","I went to the hospital.",にいきました
iku,polite_past_pos,"昨日、どこに行きましたか？","kino, doko ni ikimashita ka?","Where did you go yesterday?",会社,kaisha,office,"会社に行きました。","kaisha ni ikimashita.","I went to the office.",にいきました
iku,polite_past_pos,"先週、どこに行きましたか？","senshu, doko ni ikimashita ka?","Where did you go last week?",山,yama,mountains,"山に行きました。","yama ni ikimashita.","I went to the mountains.",にいきました
iku,polite_past_pos,"彼は昨日どこに行きましたか？","kare wa kino doko ni ikimashita ka?","Where did he go yesterday?",大阪,osaka,Osaka,"彼は大阪に行きました。","kare wa osaka ni ikimashita.","He went to Osaka.",にいきました
iku,polite_past_pos,"彼女は先週どこに行きましたか？","kanojo wa senshu doko ni ikimashita ka?","Where did she go last week?",北海道,hokkaido,Hokkaido,"彼女は北海道に行きました。","kanojo wa hokkaido ni ikimashita.","She went to Hokkaido.",にいきました
iku,polite_past_pos,"彼らは去年どこに行きましたか？","karera wa kyonen doko ni ikimashita ka?","Where did they go last year?",沖縄,okinawa,Okinawa,"彼らは沖縄に行きました。","karera wa okinawa ni ikimashita.","They went to Okinawa.",にいきました
iku,polite_past_pos,"土曜日、どこに行きましたか？","doyobi, doko ni ikimashita ka?","Where did you go on Saturday?",公園,koen,park,"公園に行きました。","koen ni ikimashita.","I went to the park.",にいきました
iku,polite_past_pos,"昨日、どこに行きましたか？","kino, doko ni ikimashita ka?","Where did you go yesterday?",図書館,toshokan,library,"図書館に行きました。","toshokan ni ikimashita.","I went to the library.",にいきました
iku,polite_past_neg,"昨日、京都に行きましたか？","kino, kyoto ni ikimashita ka?","Did you go to Kyoto yesterday?",いいえ,iie,no,"いいえ、京都に行きませんでした。","iie, kyoto ni ikimasen deshita.","No, I did not go to Kyoto yesterday.",にいきませんでした
iku,polite_past_neg,"先週、東京に行きましたか？","senshu, tokyo ni ikimashita ka?","Did you go to Tokyo last week?",いいえ,iie,no,"いいえ、東京に行きませんでした。","iie, tokyo ni ikimasen deshita.","No, I did not go to Tokyo last week.",にいきませんでした
iku,polite_past_neg,"去年、日本に行きましたか？","kyonen, nihon ni ikimashita ka?","Did you go to Japan last year?",いいえ,iie,no,"いいえ、日本に行きませんでした。","iie, nihon ni ikimasen deshita.","No, I did not go to Japan last year.",にいきませんでした
iku,polite_past_neg,"今朝、病院に行きましたか？","kesa, byoin ni ikimashita ka?","Did you go to the hospital this morning?",いいえ,iie,no,"いいえ、病院に行きませんでした。","iie, byoin ni ikimasen deshita.","No, I did not go to the hospital this morning.",にいきませんでした
iku,polite_past_neg,"昨日、学校に行きましたか？","kino, gakko ni ikimashita ka?","Did you go to school yesterday?",いいえ,iie,no,"いいえ、学校に行きませんでした。","iie, gakko ni ikimasen deshita.","No, I did not go to school yesterday.",にいきませんでした
iku,polite_past_neg,"先週、海に行きましたか？","senshu, umi ni ikimashita ka?","Did you go to the beach last week?",いいえ,iie,no,"いいえ、海に行きませんでした。","iie, umi ni ikimasen deshita.","No, I did not go to the beach last week.",にいきませんでした
iku,polite_past_neg,"彼は昨日京都に行きましたか？","kare wa kino kyoto ni ikimashita ka?","Did he go to Kyoto yesterday?",いいえ,iie,no,"いいえ、彼は京都に行きませんでした。","iie, kare wa kyoto ni ikimasen deshita.","No, he did not go to Kyoto yesterday.",にいきませんでした
iku,polite_past_neg,"彼女は先週東京に行きましたか？","kanojo wa senshu tokyo ni ikimashita ka?","Did she go to Tokyo last week?",いいえ,iie,no,"いいえ、彼女は東京に行きませんでした。","iie, kanojo wa tokyo ni ikimasen deshita.","No, she did not go to Tokyo last week.",にいきませんでした
iku,polite_past_neg,"彼らは去年日本に行きましたか？","karera wa kyonen nihon ni ikimashita ka?","Did they go to Japan last year?",いいえ,iie,no,"いいえ、彼らは日本に行きませんでした。","iie, karera wa nihon ni ikimasen deshita.","No, they did not go to Japan last year.",にいきませんでした
iku,polite_past_neg,"昨日、京都に行きましたか？","kino, kyoto ni ikimashita ka?","Did you go to Kyoto yesterday?",いいえ,iie,no,"いいえ、行きませんでした。","iie, ikimasen deshita.","No, I did not go.",にいきませんでした
iku,casual_present_pos,"明日、どこに行く？","ashita, doko ni iku?","Where are you going tomorrow?",ラーメン屋,ramen'ya,ramen shop,"ラーメン屋に行く。","ramen'ya ni iku.","I'm going to the ramen shop.",にいく
iku,casual_present_pos,"今夜、どこに行く？","kon'ya, doko ni iku?","Where are you going tonight?",カフェ,kafe,cafe,"カフェに行く。","kafe ni iku.","I'm going to the cafe.",にいく
iku,casual_present_pos,"来週、どこに行く？","raishu, doko ni iku?","Where are you going next week?",京都,kyoto,Kyoto,"京都に行く。","kyoto ni iku.","I'm going to Kyoto.",にいく
iku,casual_present_pos,"週末、どこに行く？","shumatsu, doko ni iku?","Where are you going this weekend?",海,umi,beach,"海に行く。","umi ni iku.","I'm going to the beach.",にいく
iku,casual_present_pos,"明日、どこに行く？","ashita, doko ni iku?","Where are you going tomorrow?",友達の家,tomodachi no ie,friend's house,"友達の家に行く。","tomodachi no ie ni iku.","I'm going to my friend's house.",にいく
iku,casual_present_pos,"彼は明日どこに行く？","kare wa ashita doko ni iku?","Where is he going tomorrow?",大阪,osaka,Osaka,"彼は大阪に行く。","kare wa osaka ni iku.","He's going to Osaka.",にいく
iku,casual_present_pos,"彼女は今夜どこに行く？","kanojo wa kon'ya doko ni iku?","Where is she going tonight?",映画,eiga,movie,"彼女は映画に行く。","kanojo wa eiga ni iku.","She's going to the movie.",にいく
iku,casual_present_pos,"彼らは週末どこに行く？","karera wa shumatsu doko ni iku?","Where are they going this weekend?",山,yama,mountains,"彼らは山に行く。","karera wa yama ni iku.","They're going to the mountains.",にいく
iku,casual_present_pos,"今晩、どこに行く？","konban, doko ni iku?","Where are you going this evening?",駅,eki,station,"駅に行く。","eki ni iku.","I'm going to the station.",にいく
